Owner_username,Card_number,Exp_date,Cvv,Owner_name,Saved
user,1234567891011120,2018-01-01,130,Jay,1
yoda,9012901290129010,2018-01-01,135,Yuda,1
erikk,8585959505050500,2018-01-01,140,Eric,1
rah,1122334455667780,2018-01-01,145,Rahul,1
sankite,1020304050607080,2018-01-01,150,Sanket,1
jsmith,1033104410551060,2018-01-01,155,James,0
ewatson,1190119011901190,2018-03-01,160,Emma,0
dradcliffe,9999888877776660,2018-03-01,165,Daniel,0
pfreeman,9201920192019200,2018-03-01,170,Peter,0
msweat,4567456545564000,2018-03-01,175,Monica,0
klark,1001100210031000,2018-03-01,180,Klark,0
kvishal,8393103000000000,2018-03-01,185,Kaushal,0
tbrown,2525252525252520,2018-03-01,190,Tyree,0
jroberts,3535353535353530,2018-03-01,195,John,0
pryan,5000500150025000,2018-03-01,200,Paul,0
drdre,2652265326542650,2018-03-01,205,Denise,1
drdre,1809180918091800,2018-03-01,210,Denise,1
excel,8391993020012220,2018-04-01,215,Maddie,1
excel,4040505060607070,2018-04-01,220,Maddie,1
cbelle,1111222233334440,2018-04-01,225,Claire,1
cbelle,5151515151515150,2018-04-01,230,Claire,1
tprice,8098809880988090,2018-04-01,235,Tom,1
tprice,2095209520910010,2018-04-01,240,Tom,1
khuang,1011101210131010,2018-04-01,245,Ko,1
khuang,1617181945464740,2018-04-01,222,Ko,1
