Username,Password,Email,User_type
user,pass,user@gtmovie.com,customer
yoda,yoda,yoda@gtmovie.com,customer
erikk,erikk,erikk@gtmovie.com,customer
rah,rah,rah@gtmovie.com,customer
sankite,sankite,sankite@gtmovie.com,customer
jsmith,jsmith,jsmith@gtmovie.com,customer
ewatson,ewatson,ewatson@gtmovie.com,customer
dradcliffe,dradcliffe,dradcliffe@gtmovie.com,customer
pfreeman,pfreeman,pfreeman@gtmovie.com,customer
msweat,msweat,msweat@gtmovie.com,customer
klark,klark,klark@gtmovie.com,customer
kvishal,kvishal,kvishal@gtmovie.com,customer
tbrown,tbrown,tbrown@gtmovie.com,customer
jroberts,jroberts,jroberts@gtmovie.com,customer
pryan,pryan,pryan@gtmovie.com,customer
drdre,drdre,drdre@gtmovie.com,customer
excel,excel,excel@gtmovie.com,customer
cbelle,cbelle,cbelle@gtmovie.com,customer
tprice,tprice,tprice@gtmovie.com,customer
khuang,khuang,khuang@gtmovie.com,customer
regal,regal,regal@cinemas.com,manager
amc,amc,amc@cinemas.com,manager
carmike,carmike,carmike@cinemas.com,manager
aurora,aurora,aurora@cinemas.com,manager
cinemark,cinemark,cinemark@cinemas.com,manager
malco,malco,malco@cinemas.com,manager
bob,bob,bob@gtmovie.com,customer
amy,amy,amy@gtmovie.com,customer
jesus,jesus,jesus@gtmovie.com,customer
demo,demo,demo@gtmovie.com,customer
eric,eric,eric@gtmovie.com,customer
